RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
161,165,186,162,158,166
174,161,176,168,158,167
157,172,179,136,165,162
174,164,154,157,169,164
171,170,169,178,174,172
167,164,170,166,162,166
176,167,165,160,147,163
171,165,141,158,196,166
177,169,184,191,150,174
169,164,155,166,160,163
166,150,160,166,187,166
167,153,148,171,162,160
160,152,171,167,158,162
168,184,164,172,154,168
170,163,169,170,172,169
165,165,154,171,171,165
162,153,165,152,158,158
173,168,174,155,182,170
170,186,169,163,178,173
166,170,155,172,176,168
158,173,157,170,164,164
173,165,168,164,176,169
166,154,160,175,162,163
159,155,174,169,169,165
156,174,149,164,172,163
185,167,138,162,177,166
177,171,179,155,164,169
157,159,165,172,147,160
154,174,153,186,175,168
187,183,166,165,170,174
156,180,171,160,154,164
160,168,154,149,165,159
180,174,162,155,168,168
153,146,163,157,168,157
166,178,160,168,171,169
170,177,157,165,158,165
162,150,162,165,168,161
156,171,159,181,178,169
166,164,163,158,175,165
172,177,157,167,165,168
171,188,163,172,168,172
169,169,169,167,161,167
175,155,174,161,163,166
152,178,164,154,169,163
160,177,163,155,154,162
165,161,164,152,167,162
175,170,167,169,166,169
166,166,177,157,153,164
161,160,160,164,166,162
165,166,161,135,159,157
159,152,144,163,183,160
177,168,155,165,170,167
162,154,165,145,173,160
176,164,167,158,178,169
173,159,179,158,176,169
170,150,158,177,171,165
166,178,165,168,155,166
164,167,171,170,177,170
164,155,170,161,161,162
165,167,182,163,168,169
171,144,171,158,159,161
164,178,177,171,177,173
174,171,164,172,173,171
170,168,167,169,171,169
167,167,184,150,169,167
161,153,147,168,163,158
152,177,173,156,165,165
184,170,160,161,162,167
167,163,167,169,142,162
164,167,157,150,152,158
169,175,167,157,156,165
146,173,185,170,162,167
171,187,170,177,179,177
185,166,162,170,163,169
171,187,165,163,167,171
173,169,172,175,162,170
180,180,147,179,165,170
182,178,146,162,170,168
175,159,148,164,183,166
168,165,169,160,159,164
155,167,147,178,155,160
159,151,159,156,167,158
154,180,163,169,159,165
171,158,154,162,164,162
163,167,165,161,187,169
173,157,163,168,156,163
161,161,156,168,174,164
172,191,178,167,156,173
169,180,165,179,167,172
165,178,179,151,158,166
163,155,172,165,167,164
147,159,155,160,155,155
155,149,155,157,156,154
169,155,166,156,177,165
163,165,163,151,166,162
175,154,163,165,150,161
167,179,163,160,141,162
174,144,174,176,176,169
165,181,174,166,161,169
163,174,175,170,169,170
