No ,Gender,Height
1,여학생,144
2,여학생,161
3,여학생,157
4,여학생,155
5,여학생,172
6,여학생,158
7,여학생,142
8,여학생,167
9,여학생,157
10,여학생,152
11,여학생,162
12,여학생,154
13,여학생,159
14,여학생,161
15,여학생,154
16,여학생,161
17,여학생,150
18,여학생,162
19,여학생,149
20,여학생,157
21,여학생,156
22,여학생,153
23,여학생,137
24,여학생,166
25,여학생,168
26,여학생,160
27,여학생,151
28,여학생,167
29,여학생,146
30,여학생,165
31,여학생,168
32,여학생,155
33,여학생,157
34,여학생,164
35,여학생,146
36,여학생,159
37,여학생,160
38,여학생,164
39,여학생,149
40,여학생,155
41,여학생,169
42,여학생,142
43,여학생,162
44,여학생,169
45,여학생,145
46,여학생,140
47,여학생,155
48,여학생,142
49,여학생,164
50,여학생,160
51,여학생,154
52,남학생,162
53,남학생,168
54,남학생,167
55,남학생,164
56,남학생,148
57,남학생,169
58,남학생,168
59,남학생,186
60,남학생,172
61,남학생,166
62,남학생,164
63,남학생,171
64,남학생,168
65,남학생,167
66,남학생,168
67,남학생,177
68,남학생,156
69,남학생,165
70,남학생,157
71,남학생,178
72,남학생,155
73,남학생,169
74,남학생,165
75,남학생,164
76,남학생,175
77,남학생,172
78,남학생,169
79,남학생,162
80,남학생,178
81,남학생,181
82,남학생,169
83,남학생,160
84,남학생,181
85,남학생,176
86,남학생,167
87,남학생,162
88,남학생,178
89,남학생,182
90,남학생,164
91,남학생,181
92,남학생,151
93,남학생,174
94,남학생,164
95,남학생,173
96,남학생,180
97,남학생,173
98,남학생,175
99,남학생,177
100,남학생,156
