학교,고교성적,수능언어성적,수능영어성적,대학성적
5,3.75,67,59,3.49
5,4.25,51,92,3.81
5,4,76,49,3.01
5,4,62,72,2.96
5,3,77,80,3.24
5,3.25,67,60,3.58
5,4.25,71,49,3.43
5,4.5,47,75,3.77
5,2.75,69,66,2.99
5,3.75,76,60,3.03
5,4,79,72,3.6
5,3.25,79,72,3.27
5,3,79,59,2.37
5,4.5,72,66,4.44
5,2.25,83,83,2.48
5,4,48,75,3.62
5,4,79,64,4.12
5,4,41,72,3.9
5,4,79,54,3.11
5,3.5,59,73,4.03
5,3.25,86,60,3.03
5,4.5,62,78,3.69
5,4.5,67,68,4.06
5,3.75,86,76,3.49
5,3.75,81,48,3.6
5,4.25,77,72,4.08
5,4,66,59,3.3
5,3.5,76,51,3.47
5,4.25,62,72,3.65
5,3.5,51,64,2.44
5,2.25,47,81,2.95
5,4,59,54,4.03
5,3.5,64,64,3.48
5,3.25,56,84,3.72
5,3,64,59,1.85
5,3.75,58,70,3.04
5,3.5,62,66,3.24
5,3.25,48,70,2.9
5,4.25,81,72,3.93
5,2.5,62,81,2.57
5,3.75,79,78,3.44
5,2.75,64,89,2.92
5,3.25,47,83,3.41
5,2.5,38,87,3.18
5,4.5,64,62,3.89
5,2,59,56,2.75
5,4.25,56,76,3.68
5,4.5,66,73,3.74
5,3.25,71,59,3.57
5,4,76,52,3.72
5,3.5,74,52,3.89
5,4.25,56,52,4.05
5,2.5,44,83,3.16
5,4.25,44,89,4.22
5,4.25,83,83,3.99
5,4.25,71,52,3.74
5,4,79,59,3.95
5,4.25,35,80,3.94
5,3.75,44,70,3.69
5,2,59,93,3.11
5,4,64,60,4.09
5,4,92,94,3.14
5,4.25,69,72,3.68
5,3.25,60,75,3.63
5,3.25,67,64,2.76
5,3,72,64,2.48
5,4,62,75,3.9
5,4.25,59,78,4.04
5,2.25,91,78,2.03
5,4.25,45,83,3.89
5,3.75,55,66,3.68
5,3.5,58,72,3.67
5,4.5,84,56,3.86
5,3.5,69,78,3.22
5,4.5,69,62,4.03
5,4,48,72,3.85
5,3.75,72,89,3.3
5,4,77,60,3.85
5,3.75,62,85,3.81
5,3,60,81,3.17
5,3.75,79,59,3.82
5,4.25,83,76,3.53
5,4,76,73,3.91
5,3.75,79,80,3.08
5,4.25,74,75,3.24
5,4,67,83,3.83
