27,18,10,9,10
15.5,3.5,5.83,3.3,9
23.5,18,6.67,8.8,4.5
31.5,23,9.72,7,9
18.5,8,9.44,9,10
26.5,19.5,7.5,9.8,7.5
31,19,9.17,9.2,8.5
14.5,8,6.11,10,8.5
20,9,7.78,9.6,7.5
17.5,10.5,8.61,9.1,7
17,10,7.22,3.1,5.5
23,4,8.06,9.8,7
11,0,6.11,9.5,8
32.5,23,9.17,10,8
24,19,6.67,7.1,7.5
15,35,9.17,9.6,9
19.5,22,8.06,9.3,7
30,31,8.89,8.9,5.5
30.5,21,9.17,9.8,7.5
18.5,14,9.72,10,9
27,33.5,8.06,9.8,10
10,12.5,6.67,10,8
18,15,8.33,9.5,8
23,26,8.61,9.8,8.5
21,11,9.44,8.7,9.5
20,27.5,9.44,10,7
25.5,18,7.5,10,8
22.5,13,6.67,10,8
26.5,12.5,5.28,5.8,7.5
17,6.5,7.78,8.2,6.5
25,21.5,8.06,10,7.5
21,12,7.78,9.5,5.5
23,24.5,9.44,10,9
12,6,6.94,9.3,7
27,21,9.17,10,8
17.5,24,6.94,8.2,8
10.5,3.5,4.44,1.8,7.5
31,29.5,6.94,5.3,6
